Centro Poblado,Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,C_Aerodromo,C_Regional,C_Nacional,C_Internacional
RAMIRIQUÍ,True,GUSTAVO ROJAS PINILLA,15.8328437452406,ALBERTO LLERAS CAMARGO,50.7569704624513,EL ALCARAVAN,105.633220448271,EL DORADO,118.83857686466101,True,False,False,False
GUAYABAL (FÁTIMA),True,GUSTAVO ROJAS PINILLA,32.277603267995,ALBERTO LLERAS CAMARGO,60.2084828079051,EL ALCARAVAN,102.765101760993,EL DORADO,111.20256343382299,True,False,False,False
EL ESCOBAL,True,GUSTAVO ROJAS PINILLA,22.8657785059185,ALBERTO LLERAS CAMARGO,54.5481052190788,EL ALCARAVAN,104.291184369419,EL DORADO,115.177302055135,True,False,False,False
VILLA TOSCANA,True,GUSTAVO ROJAS PINILLA,14.799333271495199,ALBERTO LLERAS CAMARGO,51.2728001339123,EL ALCARAVAN,107.09523414780399,EL DORADO,118.461317169995,True,False,False,False
RÁQUIRA,True,GUSTAVO ROJAS PINILLA,31.89836635863,ALBERTO LLERAS CAMARGO,74.91121276078091,EL ALCARAVAN,140.329550654397,EL DORADO,109.156911500539,True,False,False,False
RONDÓN,True,GUSTAVO ROJAS PINILLA,25.470738886471402,ALBERTO LLERAS CAMARGO,44.2359249114467,EL ALCARAVAN,91.35686924554001,EL DORADO,126.967252541049,True,False,False,False
RANCHOGRANDE,True,GUSTAVO ROJAS PINILLA,27.813493476789198,ALBERTO LLERAS CAMARGO,47.6952373289919,EL ALCARAVAN,92.3352598646735,EL DORADO,124.104726660703,True,False,False,False
SABOYÁ,False,MUZO,42.0042998072056,ALBERTO LLERAS CAMARGO,87.98110782674,YARIGUIES,147.59207306317,EL DORADO,118.566632846729,False,False,False,False
GARAVITO,False,MUZO,47.7478314131845,ALBERTO LLERAS CAMARGO,85.1183826041055,YARIGUIES,141.395004527402,EL DORADO,125.66558682985,False,False,False,False
SÁCHICA,True,GUSTAVO ROJAS PINILLA,22.425008091798603,ALBERTO LLERAS CAMARGO,64.22533116477321,EL ALCARAVAN,131.55879932768,EL DORADO,118.72005581331699,True,False,False,False
