NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha
ALTO PINO,1015934600.0,156102.0,2018_07
ALTO PINO,991399700.0,153731.0,2018_08
ALTO PINO,961139300.0,140036.0,2018_09
ALTO PINO,952158600.0,149186.0,2018_10
ALTO PINO,955777300.0,142114.0,2018_11
ALTO PINO,1225961600.0,164997.0,2018_12
ALVARADO,0.0,0.0,2014_01
ALVARADO,0.0,0.0,2014_02
ALVARADO,0.0,0.0,2014_03
ALVARADO,0.0,0.0,2014_04
ALVARADO,0.0,0.0,2014_05
ALVARADO,0.0,0.0,2014_06
ALVARADO,0.0,0.0,2014_07
ALVARADO,0.0,0.0,2014_08
ALVARADO,0.0,0.0,2014_09
ALVARADO,0.0,0.0,2014_10
ALVARADO,0.0,0.0,2014_11
ALVARADO,0.0,0.0,2014_12
ALVARADO,0.0,0.0,2015_01
ALVARADO,0.0,0.0,2015_02
ALVARADO,0.0,0.0,2015_03
ALVARADO,0.0,0.0,2015_04
ALVARADO,0.0,0.0,2015_05
ALVARADO,0.0,0.0,2015_06
ALVARADO,0.0,0.0,2015_07
ALVARADO,430320000.0,46315.0,2015_08
ALVARADO,1282064400.0,140413.0,2015_09
ALVARADO,1392954400.0,153003.0,2015_10
ALVARADO,1370377100.0,149432.0,2015_11
ALVARADO,1584199700.0,178671.0,2015_12
ALVARADO,1659429200.0,181869.0,2016_01
ALVARADO,1320767100.0,132747.0,2016_02
ALVARADO,1451902800.0,154115.0,2016_03
ALVARADO,1400596000.0,142040.0,2016_04
ALVARADO,1410749500.0,147430.0,2016_05
ALVARADO,1422936500.0,149079.0,2016_06
ALVARADO,1408058500.0,154976.0,2016_07
ALVARADO,1510539700.0,156819.0,2016_08
ALVARADO,1471005900.0,144321.0,2016_09
ALVARADO,1936345000.0,155354.0,2016_10
ALVARADO,1873130100.0,149700.0,2016_11
ALVARADO,2102307900.0,174197.0,2016_12
ALVARADO,2227833900.0,184419.0,2017_01
ALVARADO,1769182500.0,131897.0,2017_02
ALVARADO,1974480000.0,146168.0,2017_03
ALVARADO,1963204300.0,152568.0,2017_04
ALVARADO,1979664050.0,149255.0,2017_05
ALVARADO,2040760100.0,152981.0,2017_06
ALVARADO,2100175750.0,159201.0,2017_07
ALVARADO,2070701600.0,157837.0,2017_08
ALVARADO,1922039100.0,143663.0,2017_09
ALVARADO,2012781000.0,152998.0,2017_10
ALVARADO,1975753550.0,149614.0,2017_11
ALVARADO,2192795200.0,174256.0,2017_12
ALVARADO,2323889900.0,248671.0,2018_01
ALVARADO,1796297350.0,187535.0,2018_02
ALVARADO,2084340600.0,231634.0,2018_03
ALVARADO,1961084950.0,204391.0,2018_04
ALVARADO,2001270000.0,136455.0,2018_05
ALVARADO,2051161800.0,172753.0,2018_06
ALVARADO,2109909700.0,201723.0,2018_07
ALVARADO,2109416500.0,214975.0,2018_08
ALVARADO,1978283100.0,199674.0,2018_09
ALVARADO,2077298650.0,209782.0,2018_10
ALVARADO,1962879400.0,213607.0,2018_11
ALVARADO,2167650700.0,256115.0,2018_12
AMAGA,0.0,0.0,2014_01
AMAGA,0.0,0.0,2014_02
AMAGA,0.0,0.0,2014_03
AMAGA,0.0,0.0,2014_04
AMAGA,0.0,0.0,2014_05
AMAGA,0.0,0.0,2014_06
AMAGA,0.0,0.0,2014_07
AMAGA,0.0,0.0,2014_08
AMAGA,0.0,0.0,2014_09
AMAGA,0.0,0.0,2014_10
AMAGA,1351948900.0,189798.0,2014_11
AMAGA,1582020700.0,223965.0,2014_12
AMAGA,1522259300.0,212893.0,2015_01
AMAGA,1224401900.0,164706.0,2015_02
AMAGA,1412592500.0,192225.0,2015_03
AMAGA,1374062000.0,185774.0,2015_04
AMAGA,1545062000.0,206903.0,2015_05
AMAGA,1584246600.0,214948.0,2015_06
AMAGA,1477023900.0,197441.0,2015_07
AMAGA,1533025650.0,206254.0,2015_08
AMAGA,1443723200.0,189184.0,2015_09
AMAGA,1606358050.0,213292.0,2015_10
AMAGA,1388381100.0,184674.0,2015_11
AMAGA,1713478100.0,233810.0,2015_12
AMAGA,1723802500.0,226676.0,2016_01
AMAGA,1559518400.0,188467.0,2016_02
AMAGA,1842971250.0,226552.0,2016_03
AMAGA,1633986600.0,196195.0,2016_04
AMAGA,1775509350.0,219106.0,2016_05
AMAGA,1676150150.0,210008.0,2016_06
AMAGA,1696085700.0,217154.0,2016_07
AMAGA,1867129350.0,231049.0,2016_08
AMAGA,1601802800.0,199433.0,2016_09
AMAGA,1711778700.0,217315.0,2016_10
AMAGA,1619610800.0,201518.0,2016_11
AMAGA,1864110800.0,238203.0,2016_12
AMAGA,1874218800.0,233664.0,2017_01
AMAGA,1571031750.0,185859.0,2017_02
AMAGA,1705003600.0,203793.0,2017_03
AMAGA,1795704000.0,214663.0,2017_04
AMAGA,1771529850.0,209058.0,2017_05
AMAGA,1842385800.0,218307.0,2017_06
AMAGA,1901705000.0,227765.0,2017_07
AMAGA,1808113500.0,217318.0,2017_08
AMAGA,1548714300.0,183491.0,2017_09
AMAGA,1823240100.0,216532.0,2017_10
AMAGA,1855354050.0,220388.0,2017_11
AMAGA,2163210550.0,261140.0,2017_12
AMAGA,2100717800.0,2100717800.0,2018_01
AMAGA,1663976350.0,1663976350.0,2018_02
AMAGA,2030450300.0,2030450300.0,2018_03
AMAGA,1821062100.0,1821062100.0,2018_04
AMAGA,1226332200.0,1226332200.0,2018_05
AMAGA,1530527600.0,1530527600.0,2018_06
AMAGA,1773198150.0,1773198150.0,2018_07
AMAGA,1899270950.0,1899270950.0,2018_08
AMAGA,1758902300.0,1758902300.0,2018_09
AMAGA,1852465800.0,1852465800.0,2018_10
AMAGA,1866120750.0,1866120750.0,2018_11
AMAGA,2185983800.0,2185983800.0,2018_12
ANDES,7952524200.0,951719.0,2014_01
ANDES,7590463100.0,896015.0,2014_02
ANDES,8330167150.0,989585.0,2014_03
ANDES,7900818950.0,940167.0,2014_04
ANDES,8560416350.0,1001869.0,2014_05
ANDES,7901251600.0,943065.0,2014_06
ANDES,8213085500.0,969776.0,2014_07
ANDES,8616967700.0,1041110.0,2014_08
ANDES,8315652000.0,988229.0,2014_09
