,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
201,FUO,,MAJAGUAL,Fuente de Oro,Meta,Aeródromo,3.3903,-73.6964,MARIO GUTIERREZ PERDOMO,ASEM LTDA.,940.0,10.0,3000.0,,1049.0," 2949,000",,2016-07-10,1A,Fumigación,,50,50287
202,GAN,,EL PROGRESO,Granada,Meta,Aeródromo,,,,,,,,,,,,,,,57.0,50,50313
203,GCA,GCA,GUACAMAYAS,San Vicente del Caguán,Caquetá,Aeródromo,2.2833,-74.95,CORREGIMIENTO(MUNICIPIO),CORREGIMIENTO(MUNICIPIO),810.0,18.0,11500.0,,1500.0," 3660,000",,,1A,Público,4.0,18,18753
204,GER,,GERMANIA,Gamarra,Cesar,Aeródromo,8.3306,-73.6949,INVERSIONES GERBEL S.A.S.,CELTA LTDA.,950.0,14.0,2000.0,,246.0," 7086,000",,,1A,Fumigación,40.0,20,20295
205,GIR,GIR,SANTIAGO VILA,Flandes,Tolima,Regional,4.2753,-74.7961,AEROCIVIL,AEROCIVIL,1600.0,28.0,,,931.0,"  115,000",,,3C,Aerocivil,2143.0,73,73275
206,GLJ,,LA JAGUA,Garzón,Huila,Aeródromo,2.1464,-75.6942,MINISTERIO DE DEFENSA,EJERCITO NACIONAL,1334.0,40.0,12202.0,,2622.0,"  984,000",,,2B,Militar,170.0,41,41298
207,GPI,GPI,JUAN CASIANO,Guapí,Cauca,Regional,2.57,-77.898,AEROCIVIL,AEROCIVIL,1300.0,16.0,,,164.0,"  245,000",1960-08-17,,3C,Aerocivil,7490.0,19,19318
208,GRM,,GUERIMA,Puerto Carreño,Vichada,Aeródromo,3.6299,-70.3231,GOBERNACION,DEPARTAMENTO,1220.0,20.0,,,416.0,"13268,000",,,2B,Público,1744.0,99,99001
209,GRN,,MALVINAS,Granada,Meta,Aeródromo,3.4208,-73.7653,FREDY REYES VALDERRAMA,SADELL S.A.S.,700.0,10.0,2000.0,,1150.0," 1124,000",,,1A,Fumigación,97.0,50,50313
210,GUE,,LA ESTRELLA,Guacarí,Valle del Cauca,Aeródromo,,,,,,,,,,,,,,,6.0,76,76318
211,GUR,,LA BASE FUMIVALLE,Guacarí,Valle del Cauca,Aeródromo,3.7766,-76.3217,MAR 2 S.A.S.,ARFA S.A.,640.0,10.0,2000.0,,3278.0,"  400,000",,2017-02-06,1A,Fumigación,4.0,76,76318
212,GUS,,GUSTAVO ROJAS PINILLA,Tunja,Boyacá,Aeródromo,5.5423,-73.3443,AEROCIVIL,COMODATO MUNICIPIO,1100.0,20.0,5670.0,,8954.0," 1291,000",,,2A,Aerocivil,604.0,15,15001
213,GYM,,FLAMINIO S. CAMACHO,Chía,Cundinamarca,Aeródromo,4.8125,-74.0651,AEROCIVIL,AEROCIVIL,1720.0,20.0,7000.0,,8386.0,"  984,000",1987-02-02,,2B,Aerocivil,4571.0,25,25175
214,HAC,,EL TRIUNFO,Puerto Triunfo,Antioquia,Aeródromo,5.9222,-74.7258,MUNICIPIO,MUNICIPIO,1150.0,11.0,7000.0,,820.0," 2070,000",,2014-06-10,2A,Público,860.0,5,5591
215,HCO,,EL CAIRO,Hato Corozal,Casanare,Aeródromo,6.0647,-71.2044,ELVIRA SARMIENTO,ELVIRA SARMIENTO,700.0,15.0,2000.0,,443.0," 5835,000",,2016-12-04,1A,Privado,111.0,85,85125
216,HCZ,,HATO LA AURORA,Hato Corozal,Casanare,Aeródromo,6.0331,-71.3819,LIGIA PLATA Y OTRO,BARRAGAN PLATA JORGE,800.0,15.0,3500.0,,485.0," 6728,000",,,1A,Privado,26.0,85,85125
217,HLE,,HATO LA ESPERANZA,Puerto Gaitán,Meta,Aeródromo,,,,,,,,,,,,,,,4.0,50,50568
218,HTC,,EL DANUBIO,Hato Corozal,Casanare,Aeródromo,6.2611,-71.2247,CARMEN DELIA DELGADO,CARMEN DELIA DELGADO,740.0,15.0,2400.0,,440.0," 4315,000",,,1A,Privado,35.0,85,85125
219,HTZ,HTZ,HATO COROZAL,Hato Corozal,Casanare,Aeródromo,6.1535,-71.7616,AEROCIVIL,AEROCIVIL,1040.0,14.0,12202.0,,830.0,"  502,000",1967-05-05,,2C,Aerocivil,195.0,85,85125
220,IBE,IBE,PERALES,Ibagué,Tolima,Nacional,4.4217,-75.1336,AEROCIVIL,AEROCIVIL,1800.0,30.0,,,3114.0,"  984,000",1987-02-02,,3C,Aerocivil,36819.0,73,73001
221,IDA,,CESAR GAVIRIA TRUJILLO,Inírida,Guainía,Regional,3.8536,-67.9063,GOBERNACION,GOBERNACION,1930.0,30.0,,,311.0,"  499,000",,,3C,Público,4942.0,94,94001
222,IGO,IGO,JAIME ORTIZ BETANCUR,Chigorodó,Antioquia,Aeródromo,7.6772,-76.683,MUNICIPIO,MUNICIPIO,840.0,18.0,6400.0,,170.0," 4545,000",2012-08-17,,1A,Público,250.0,5,5172
223,IPI,IPI,SAN LUIS,Aldana,Nariño,Internacional,0.8619,-77.6718,AEROCIVIL,AEROCIVIL,1770.0,28.0,,,9740.0,"  455,000",1969-05-19,,3C,Aerocivil,4193.0,52,52022
224,IRH,,IRHO,San Alberto,Cesar,Aeródromo,7.7345,-73.4343,INDUPALMA LTDA.,INDUPALMA LTDA.,730.0,15.0,5000.0,,305.0,"  170,000",,2018-02-12,1A,Fumigación,561.0,20,20710
225,ISP,,ISA,Palmira,Valle del Cauca,Aeródromo,,,,,,,,,,,,,,,1.0,76,76520
226,ITG,,LA PROVIDENCIA,Ituango,Antioquia,Aeródromo,7.1653,-75.7253,MUNICIPIO,MUNICIPIO,750.0,12.0,6000.0,,5166.0,"   39,000",,2018-02-01,1A,Público,1127.0,5,5361
