,NombreEstacionPeaje,Recaudo,Tráfico,Cod_fecha
419,PIPIRAL,8502040800,12053.806451612903,2017Dic
420,PIPIRAL,8434691000,372908.0,2018Ene
421,PIPIRAL,5799501200,223727.0,2018Feb
422,PIPIRAL,7417723200,310837.0,2018Mar
423,PIPIRAL,6778766000,273412.0,2018Abr
424,PIPIRAL,6459047100,255888.0,2018May
425,PIPIRAL,6855322900,295927.0,2018Jun
426,PIPIRAL,6813163200,283925.0,2018Jul
427,PIPIRAL,5837177400,238006.0,2018Ago
428,PIPIRAL,6116060100,232825.0,2018Sept
429,PIPIRAL,7444170500,298317.0,2018Oct
430,PIPIRAL,7421157900,293347.0,2018Nov
431,PIPIRAL,8611663500,361040.0,2018Dic
432,MARAHUACO,1360247800,150624.0,2016Ene
433,MARAHUACO,1119857700,116039.0,2016Feb
434,MARAHUACO,1254757105,130521.0,2016Mar
435,MARAHUACO,1027319100,105685.0,2016Abr
436,MARAHUACO,1107914600,115154.0,2016May
437,MARAHUACO,1134948800,117870.0,2016Jun
438,MARAHUACO,1287230300,133283.0,2016Jul
439,MARAHUACO,1194285500,122998.0,2016Ago
440,MARAHUACO,1074857000,111392.0,2016Sep
441,MARAHUACO,1209087500,121392.0,2016Oct
442,MARAHUACO,1154353000,114890.0,2016Nov
443,MARAHUACO,1409644600,132956.0,2016Dic
444,MARAHUACO,1604925800,4789.419354838709,2017Ene
445,MARAHUACO,1297685000,4116.964285714285,2017Feb
446,MARAHUACO,1298239600,3702.2903225806454,2017Mar
447,MARAHUACO,1355638600,4026.0666666666666,2017Abr
448,MARAHUACO,1168034200,3365.516129032258,2017May
449,MARAHUACO,1308688300,3857.7,2017Jun
450,MARAHUACO,1409359600,4039.8387096774195,2017Jul
451,MARAHUACO,1287930300,3766.548387096774,2017Ago
452,MARAHUACO,1257138300,3789.3333333333335,2017Sep
453,MARAHUACO,1434037300,4145.935483870968,2017Oct
454,MARAHUACO,1272099100,3848.5,2017Nov
455,MARAHUACO,1531198900,4490.4838709677415,2017Dic
456,MARAHUACO,1697954400,152528.0,2018Ene
457,MARAHUACO,1368183100,119145.0,2018Feb
458,MARAHUACO,1574193200,136019.0,2018Mar
459,MARAHUACO,1361276500,117994.0,2018Abr
460,MARAHUACO,1282236400,111282.0,2018May
461,MARAHUACO,1381678100,120184.0,2018Jun
462,MARAHUACO,1551745100,135429.0,2018Jul
463,MARAHUACO,1478232100,129188.0,2018Ago
464,MARAHUACO,1318668800,114964.0,2018Sept
465,MARAHUACO,1454829300,127497.0,2018Oct
466,MARAHUACO,1437096000,125773.0,2018Nov
467,MARAHUACO,1765275600,154819.0,2018Dic
468,PAPIROS,254689200,40298.0,2016Ene
469,PAPIROS,292430000,42069.0,2016Feb
470,PAPIROS,296898700,42931.0,2016Mar
471,PAPIROS,342115100,45849.0,2016Abr
472,PAPIROS,325282100,47031.0,2016May
473,PAPIROS,290663500,37946.0,2016Jun
474,PAPIROS,240833600,32533.0,2016Jul
475,PAPIROS,289476500,37712.0,2016Ago
476,PAPIROS,320099800,38920.0,2016Sep
477,PAPIROS,266292800,29337.0,2016Oct
478,PAPIROS,218826300,27283.0,2016Nov
479,PAPIROS,215590600,27521.0,2016Dic
480,PAPIROS,241938300,1061.741935483871,2017Ene
481,PAPIROS,215865000,1015.7142857142857,2017Feb
482,PAPIROS,302737300,1115.5483870967741,2017Mar
483,PAPIROS,257696900,1074.9666666666667,2017Abr
484,PAPIROS,273345500,1241.1935483870968,2017May
485,PAPIROS,254907900,1168.4666666666667,2017Jun
486,PAPIROS,219897100,1044.1612903225807,2017Jul
487,PAPIROS,225192700,1319.4193548387098,2017Ago
488,PAPIROS,285399100,1523.8,2017Sep
489,PAPIROS,315842600,1530.225806451613,2017Oct
490,PAPIROS,334689800,1760.0333333333333,2017Nov
491,PAPIROS,297512300,1513.258064516129,2017Dic
492,PAPIROS,281343700,48567.0,2018Ene
493,PAPIROS,284232500,44770.0,2018Feb
494,PAPIROS,349278600,50705.0,2018Mar
495,PAPIROS,512236200,56273.0,2018Abr
496,PAPIROS,546659200,56995.0,2018May
497,PAPIROS,414212000,44371.0,2018Jun
498,PAPIROS,462603000,134189.0,2018Jul
499,PAPIROS,517189500,54368.0,2018Ago
500,PAPIROS,450919200,55416.0,2018Sept
501,PAPIROS,482776500,55238.0,2018Oct
502,PAPIROS,452290800,54656.0,2018Nov
503,PAPIROS,403928100,51989.0,2018Dic
504,PUERTO COLOMBIA,2146704600,224862.0,2016Ene
505,PUERTO COLOMBIA,1666969800,161503.0,2016Feb
506,PUERTO COLOMBIA,1987465300,193958.0,2016Mar
507,PUERTO COLOMBIA,1592873600,149624.0,2016Abr
508,PUERTO COLOMBIA,1837900900,170995.0,2016May
509,PUERTO COLOMBIA,1770839800,168219.0,2016Jun
