,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
645,PCO,,PARACO,Córdoba,Bolívar,Aeródromo,,,,,,,,,,,,,,,35.0,13,13212
646,PCR,PCR,GERMAN OLANO,Puerto Carreño,Vichada,Regional,6.185,-67.4925,MUNICIPIO,AEROCIVIL,1800.0,30.0,,,1915.0,"  551,000",1968-07-10,,3C,Aerocivil,6271.0,99,99001
647,PDE,,LA VENGANZA,Paz de Ariporo,Casanare,Aeródromo,6.0226,-70.8976,WALTER F. GOMEZ ACOSTA,EL MISMO,570.0,12.0,4000.0,,410.0,,,,1A,Privado,70.0,85,85250
648,PDR,,LA COLONIA,Paz de Ariporo,Casanare,Aeródromo,5.7639,-71.5314,MILCIADES LUNA CUERVO,MUNICIPIO,670.0,15.0,2000.0,,620.0," 6296,000",,2012-12-08,1A,Público,12.0,85,85250
649,PEI,PEI,MATECAÑA,Pereira,Risaralda,Internacional,4.8128,-75.7393,MUNICIPIO,MUNICIPIO,2020.0,45.0,,,4417.0,"  522,000",,,4D,Público,95765.0,66,66001
650,PET,,PETROLEA,San José de Cúcuta,Norte de Santander,Aeródromo,8.4972,-72.5967,MINISTERIO DEFENSA,MINISTERIO DEFENSA,840.0,15.0,4000.0,,164.0,"  285,000",,,2A,Público,4.0,54,54001
651,PFO,,PUERTO PERALES,Puerto Triunfo,Antioquia,Aeródromo,5.9936,-74.5742,GOBERNACION,GOBERNACION,900.0,15.0,7000.0,,475.0," 2989,000",,,2A,Público,1062.0,5,5591
652,PGA,,PRAGA,Obando,Valle del Cauca,Aeródromo,,,,,,,,,,,,,,,17.0,76,76497
653,PGM,,PUERTO GAITAN,Puerto Gaitán,Meta,Aeródromo,4.3031,-72.0855,MUNICIPIO,MUNICIPIO,1380.0,23.0,12202.0,,150.0," 1861,000",,,3C,Público,3103.0,50,50568
654,PGN,,SABANETA,Puerto Gaitán,Meta,Aeródromo,,,,,,,,,,,,,,,10.0,50,50568
655,PGO,,EL RODEO,Puerto Gaitán,Meta,Aeródromo,,,,,,,,,,,,,,,80.0,50,50568
656,PGP,,LA PLATA PUERTO TRUJILLO,Puerto Gaitán,Meta,Aeródromo,3.4873,-71.3759,MUNICIPIO,MUNICIPIO,700.0,15.0,4500.0,,623.0,"   15,000",,,1A,Público,1377.0,50,50568
657,PGT,,MORELIA,Puerto Gaitán,Meta,Aeródromo,3.7504,-71.4561,META PETROLEUM LTD.,META PETROLEUM LTD.,1280.0,24.0,,,617.0," 1738,000",,,2C,Privado,30856.0,50,50568
658,PID,,PUERTO INIRIDA,Inírida,Guainía,Aeródromo,,,,,,,,,,,,,,,347.0,94,94001
659,PII,,SAN FELIPE,Inírida,Guainía,Aeródromo,,,,,,,,,,,,,,,82.0,94,94001
660,PIM,LPE,LA PRIMAVERA,La Primavera,Vichada,Aeródromo,5.4943,-70.4212,MUNICIPIO,MUNICIPIO,1740.0,18.0,12200.0,,410.0," 1028,000",,,2C,Público,6784.0,99,99524
661,PIP,RON,PAIPA JUAN JOSE RONDON,Paipa,Boyacá,Aeródromo,5.7644,-73.1057,AEROCIVIL,AEROCIVIL,1700.0,30.0,11400.0,,8205.0,"  984,000",1987-02-02,,3C,Aerocivil,154.0,15,15516
662,PIV,,LA PALESTINA,Pivijay,Magdalena,Aeródromo,10.5897,-74.2951,SAFUCO,SAFUCO,640.0,10.0,2000.0,,82.0," 2612,000",,2017-06-12,1A,Fumigación,,47,47551
