,sigla,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,clase,tipo,gcd_departamento,gcd_municipio
66,9BY,SAN EDUARDO,Orocué,Casanare,Aeródromo,4.6422,-71.8104,EDUARDO J. GONZALEZ A.,EDUARDO J- GONZALEZ,800.0,12.0,2500.0,580.0," 1580,000",1A,Privado,85,85230
67,9BZ,RIOSUCIO,Riosucio,Chocó,Aeródromo,7.4164,-77.0595,MUNICIPIO,MUNICIPIO,706.0,9.0,5670.0,72.0," 3430,000",1A,Público,27,27615
68,9CA,LAS AGUILAS -CA,Yumbo,Valle del Cauca,Aeródromo,3.5134,-76.4931,SERESTEL S.A.,CLUB DEPORT.LAS AGUILAS,320.0,10.0,500.0,3100.0," 4939,000",1A,Privado,76,76892
69,9CB,CAMARUCOS,Paz de Ariporo,Casanare,Aeródromo,5.8754,-70.6583,ALCALDIA,ALCALDIA,1200.0,15.0,2000.0,367.0," 4541,000",1A,Público,85,85250
70,9CC,EL TOTUMO,Paz de Ariporo,Casanare,Aeródromo,5.9387,-71.2217,MUNICIPIO,MUNICIPIO,520.0,15.0,2000.0,476.0," 4541,000",1A,Público,85,85250
71,9CD,VARSOVIA,Paz de Ariporo,Casanare,Aeródromo,5.849,-70.3648,MUNICIPIO,MUNICIPIO,550.0,15.0,2000.0,328.0," 4541,000",1A,Público,85,85250
72,9CE,LA HERMOSA,Paz de Ariporo,Casanare,Aeródromo,5.5307,-70.4497,MUNICIPIO,MUNICIPIO,884.0,15.0,2000.0,338.0," 4541,000",1A,Público,85,85250
73,9CF,SAN ESTEBAN,Paz de Ariporo,Casanare,Aeródromo,5.4441,-70.8352,MUNICIPIO,MUNICIPIO,580.0,15.0,2000.0,377.0," 4541,000",1A,Público,85,85250
74,9CG,SAN JOSE DEL ARIPORO,Paz de Ariporo,Casanare,Aeródromo,6.0475,-70.0128,MUNICIPIO,MUNICIPIO,570.0,15.0,2000.0,318.0," 4541,000",1A,Público,85,85250
75,9CH,COLINERAS,Paz de Ariporo,Casanare,Aeródromo,6.0713,-70.3678,MUNICIPIO,MUNICIPIO,410.0,15.0,2000.0,338.0," 4541,000",1A,Público,85,85250
76,9CI,LA CAIMANA,Paz de Ariporo,Casanare,Aeródromo,6.0520000000000005,-70.8134,MUNICIPIO,MUNICIPIO,615.0,15.0,2000.0,400.0," 4541,000",1A,Público,85,85250
77,9CJ,EMAUS,San Luis de Palenque,Casanare,Aeródromo,5.1483,-71.0453,LUIS F. CASTILLO SANTOS,LUIS F. CASTILLO SANTOS,740.0,10.0,2500.0,430.0," 1945,000",1A,Privado,85,85325
78,9CL,LA VENTUROSA,San Luis de Palenque,Casanare,Aeródromo,5.2388,-71.3035,MUNICIPIO,EL MISMO,620.0,15.0,2000.0,459.0," 4542,000",1A,Público,85,85325
79,9CM,MIRAMAR DE GUANAPALO,San Luis de Palenque,Casanare,Aeródromo,5.0541,-71.0012,MUNICIPIO,EL MISMO,425.0,15.0,2000.0,394.0," 4542,000",1A,Público,85,85325
80,9CR,EL CAPRICHO,Puerto Gaitán,Meta,Aeródromo,4.2018,-72.1632,JORGE E. SALAZAR B.,EL MISMO,700.0,18.0,4500.0,551.0,"  329,000",1A,Privado,50,50568
81,9CU,COROCORA,Trinidad,Casanare,Aeródromo,5.3751,-70.969,DORA AVELLA VDA.DE PAN,PERENCO COLOMBIA LIMITED,740.0,18.0,5000.0,430.0," 1000,000",1A,Privado,85,85430
82,9CX,SAN JUAN,Maní,Casanare,Aeródromo,4.8437,-72.3006,MARIA ILSE BERRIO,AGIL LTDA.,750.0,10.0,2000.0,591.0," 1055,000",1A,Fumigación,85,85139
